TE_Rank,player_name,TE_REC,TE_TGT,TE_YDS,TE_Y/R,TE_LG,TE_20+,TE_TD,TE_ATT,TE_YDS,TE_TD,TE_FL,TE_G,TE_FPTS,TE_FPTS/G,TE_ROST,Position
113,jaheimbell(ne),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,TE
114,dallinholker(no),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
115,leroywatsoniv(ten),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
116,thomasodukoya(ten),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
117,colefotheringham(lv),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
118,tuckerfisk(lac),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,TE
119,devinculp(tb),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
120,alecholler(dal),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
121,masonpline(sf),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
122,treytonwelch(cle),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
123,stevenstilianos(ten),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
124,colsonyankoff(was),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
125,lukebenson(lac),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
126,messiahswinson(gb),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
127,brendenbates(chi),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
128,jackwestover(sea),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
129,jacobwarren(ne),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
130,thomasyassmin(den),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
131,masonfairchild(no),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
132,geor'quariusspivey(kc),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
133,haydenrucci(mia),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
134,davidmartin-robinson(ten),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
135,qadirismail(bal),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
136,rileysharp(bal),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
137,mikerigerman(bal),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
138,lincolnsefcik(nyj),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
139,shawnbowman(jac),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
140,kevinfoelsch(phi),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
141,tipreiman(ari),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,TE
142,johnsamuelshenker(lv),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
143,brevynspann-ford(dal),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
144,johnstephensjr.(dal),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
145,princetonfant(dal),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
146,jordanmurray(ind),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
147,camgrandy(cin),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
148,zachheins(lac),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
149,mccallancastles(phi),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
150,tannermclachlan(cin),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
151,jaredwiley(kc),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,TE
152,ajbarner(sea),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,TE
153,bensinnott(was),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,10.7%,TE
154,la'michaelpettway(ne),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
155,elijahhiggins(ari),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,TE
156,theojohnson(nyg),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.3%,TE
157,austinstogner(atl),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
158,baylorcupp(kc),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
159,gregdulcich(den),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.5%,TE
160,brockwright(det),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.2%,TE
161,jacobharris(phi),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE
162,sammisreyes(min),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
163,jamesmitchell(det),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,TE
164,hunterkampmoyer(den),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
165,kennyyeboah(nyj),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
166,tre'mckitty(buf),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE
167,hunterlong(lar),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
168,charliekolar(bal),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
169,quintinmorris(buf),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE
170,darnellwashington(pit),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.2%,TE
171,brockbowers(lv),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,85.9%,TE
172,joshwhyle(ten),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,TE
173,treyknox(min),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
174,millerforristall(lar),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
175,ja'tavionsanders(car),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.8%,TE
176,cameronlatu(sf),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,TE
177,armanirogers(phi),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
178,lucaskrull(den),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,TE
179,nickmuse(min),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
180,tannerconner(mia),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
181,teaganquitoriano(hou),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE
182,johnfitzpatrick(atl),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE
183,grantcalcaterra(phi),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,TE
184,nikolakalinic(lar),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
185,kokieft(tb),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE
186,stonesmartt(lac),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE
187,connorheyward(pit),0,2,0,0.0,0,0,0,1,0,0,0,1,0.0,0.0,0.2%,TE
188,zachdavidson(buf),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
189,michaeljacobson(no),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
190,salcannella(tb),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
191,shanezylstra(det),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
192,bernhardseikovits(ari),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
193,jelaniwoods(ind),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.5%,TE
194,erickalljr.(cin),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,TE
195,willmallory(ind),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
196,davisallen(lar),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,TE
197,jeremyruckert(nyj),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.2%,TE
198,drakedunsmore(tb),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
199,dominiquecurry(det),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
200,jordanmatthews(car),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
201,derekfine(hou),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
202,darnelldinkins(no),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
203,j.p.foschi(cin),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
204,joeyhaynos(mia),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
