WR_Rank,player_name,WR_REC,WR_TGT,WR_YDS,WR_Y/R,WR_LG,WR_20+,WR_TD,WR_ATT,WR_YDS,WR_TD,WR_FL,WR_G,WR_FPTS,WR_FPTS/G,WR_ROST,Position
166,nickwestbrook-ikhine(ten),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,WR
167,quezwatkins(pit),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
168,jaylenwaddle(mia),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,97.3%,WR
169,justynross(kc),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,WR
170,tylanwallace(bal),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
171,darnellmooney(atl),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,35.3%,WR
172,freddieswain(chi),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
173,tarikblack(pit),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
174,lynnbowdenjr.(fa),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,WR
175,trishtonjackson(min),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,WR
176,tyriecleveland(ind),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
177,lawrencecager(nyg),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
178,masonkinsey(ten),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,WR
179,scottywashington(bal),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
180,kristianwilkerson(lv),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
181,austinwatkinsjr.(phi),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
182,nikkoremigio(kc),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
183,zavierscott(ind),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
184,jasonbrownlee(nyj),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
185,t.j.luther(pit),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
186,xaviergipson(nyj),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.7%,WR
187,tyscott(sea),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
188,danielarias(ari),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
189,duecewatts(pit),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
190,shedrickjackson(cin),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
191,malikheath(gb),0,2,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,WR
192,griffinhebert(phi),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
193,isaiahwinstead(nyj),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
194,tyrellshavers(buf),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
195,seanryan(bal),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
196,brycentremayne(was),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
197,devontezwalker(bal),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.7%,WR
198,keoncoleman(buf),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,70.3%,WR
199,bryanthompson(buf),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
200,ryanmiller(tb),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
201,tre'shaunharrison(ten),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
202,dylandrummond(atl),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
203,daviddurden(dal),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
204,johnstephensjr.(dal),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
205,luckyjackson(min),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
206,xaviersmith(lar),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
207,andreiiosivas(cin),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,1.4%,WR
208,jalinhyatt(nyg),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,2.5%,WR
209,cedrictillman(cle),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.8%,WR
210,jacobcowing(sf),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
211,johnnywilson(phi),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,WR
212,xavierhutchinson(hou),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
213,tretucker(lv),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,1.0%,WR
214,joshali(atl),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
215,jalenwayne(gb),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
216,bryceford-wheaton(nyg),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
217,jarayjenkins(pit),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
218,jessematthews(atl),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
219,daylenbaldwin(ari),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
220,mauricealexander(det),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
221,jalencropper(dal),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
222,maliknabers(nyg),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,93.9%,WR
223,grantdubose(gb),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
224,jaredwayne(hou),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
225,thayerthomas(min),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
226,malikknowles(min),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
